Name,Team,G,PA,AB,H,2B,3B,HR,BB,K,HBP,SF,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,wOBA,wRC+,WAR
Stevie Wilkerson,BAL,151,500,459,97,24,2,10,30,158,8,2,0.211,0.271,0.338,0.608,0.126,0.297,0.06,0.316,0.281,59.3,-0.9
Trey Cabbage,LAA,62,156,147,33,11,0,2,7,63,1,1,0.224,0.263,0.34,0.603,0.116,0.373,0.0449,0.4038,0.281,59.3,-0.3
Martín Prado,MIA,161,478,451,108,19,0,3,23,77,1,3,0.239,0.276,0.302,0.578,0.062,0.281,0.0481,0.1611,0.28,58.7,-0.9
Dominic Fletcher,CWS,98,342,316,74,13,1,3,17,78,4,1,0.234,0.281,0.31,0.591,0.076,0.301,0.0497,0.2281,0.28,58.7,-0.7
Robel García,HOU,77,212,190,33,5,2,6,18,81,1,2,0.174,0.246,0.316,0.562,0.142,0.257,0.0849,0.3821,0.28,58.7,-0.4
Carlos Asuaje,SD,72,218,189,37,8,1,2,24,46,1,3,0.196,0.286,0.28,0.566,0.085,0.243,0.1101,0.211,0.28,58.7,-0.4
Dustin Fowler,ATH,86,268,249,52,4,2,6,14,71,2,3,0.209,0.254,0.313,0.567,0.104,0.263,0.0522,0.2649,0.279,58.0,-0.5
Tomás Nido,NYM,312,993,922,198,35,1,18,42,259,4,7,0.215,0.25,0.313,0.564,0.099,0.276,0.0423,0.2608,0.279,58.0,-2.0
Ben Rice,NYY,47,178,152,26,6,0,7,20,48,1,5,0.171,0.264,0.349,0.613,0.178,0.186,0.1124,0.2697,0.279,58.0,-0.4
Henry Davis,PIT,93,361,318,61,14,0,8,35,111,4,3,0.192,0.278,0.311,0.589,0.119,0.262,0.097,0.3075,0.279,58.0,-0.7
Aaron Altherr,PHI,149,365,318,54,13,1,10,39,120,5,3,0.17,0.268,0.311,0.58,0.142,0.23,0.1068,0.3288,0.278,57.3,-0.8
Lewis Brinson,MIA,339,1141,1068,220,46,7,26,53,325,12,4,0.206,0.251,0.335,0.586,0.129,0.269,0.0465,0.2848,0.278,57.3,-2.4
Evan White,SEA,95,337,306,52,11,0,11,27,122,3,1,0.17,0.243,0.314,0.557,0.144,0.236,0.0801,0.362,0.277,56.7,-0.7
Scott Heineman,TEX,61,180,163,29,10,0,5,15,46,2,0,0.178,0.256,0.331,0.587,0.153,0.214,0.0833,0.2556,0.277,56.7,-0.4
Lenyn Sosa,CWS,165,586,557,126,20,0,15,18,131,4,2,0.226,0.255,0.343,0.598,0.117,0.269,0.0307,0.2235,0.276,56.0,-1.3
Zack Cozart,LAA,95,374,333,64,15,2,6,25,60,10,6,0.192,0.265,0.303,0.568,0.111,0.212,0.0668,0.1604,0.276,56.0,-0.8
Michael Siani,STL,123,371,333,75,7,2,2,23,101,3,1,0.225,0.281,0.276,0.557,0.051,0.316,0.062,0.2722,0.273,54.0,-0.9
Nick Allen,ATH,239,781,715,151,20,2,10,45,142,3,3,0.211,0.26,0.287,0.547,0.076,0.249,0.0576,0.1818,0.273,54.0,-2.0
Austin Allen,ATH,65,151,141,26,5,0,3,8,55,1,1,0.184,0.232,0.284,0.515,0.099,0.274,0.053,0.3642,0.273,54.0,-0.4
Grégor Blanco,SF,66,203,189,41,7,3,2,12,58,0,1,0.217,0.262,0.317,0.58,0.101,0.3,0.0591,0.2857,0.272,53.3,-0.5
Andrew Velazquez,LAA,235,658,598,110,19,3,13,40,228,4,3,0.184,0.239,0.291,0.53,0.107,0.269,0.0608,0.3465,0.271,52.7,-1.8
Caleb Joseph,BAL,105,337,317,67,16,2,4,13,82,4,1,0.211,0.251,0.312,0.563,0.101,0.272,0.0386,0.2433,0.271,52.7,-0.9
Clayton Kershaw,LAD,75,167,136,24,3,0,0,10,41,0,0,0.176,0.233,0.199,0.431,0.022,0.253,0.0599,0.2455,0.271,52.7,-0.4
Anthony Bemboom,LAA,86,241,214,36,5,0,6,20,70,2,1,0.168,0.245,0.276,0.52,0.107,0.216,0.083,0.2905,0.27,52.0,-0.7
Brooks Lee,MIN,52,193,179,38,6,1,3,12,28,0,2,0.212,0.259,0.307,0.566,0.095,0.233,0.0622,0.1451,0.269,51.3,-0.5
Ben Rortvedt,TB,166,498,441,87,15,0,8,50,136,5,0,0.197,0.286,0.286,0.572,0.088,0.266,0.1004,0.2731,0.269,51.3,-1.4
José Reyes,NYM,100,251,228,43,12,3,4,22,39,0,0,0.189,0.26,0.32,0.58,0.132,0.211,0.0876,0.1554,0.269,51.3,-0.7
Magneuris Sierra,MIA,233,614,571,122,15,6,0,34,146,1,1,0.214,0.259,0.261,0.52,0.047,0.286,0.0554,0.2378,0.268,50.7,-1.8
Andrew Romine,SEA,83,213,197,41,5,2,1,11,65,1,0,0.208,0.254,0.269,0.523,0.061,0.305,0.0516,0.3052,0.267,50.0,-0.6
Luis Valbuena,LAA,92,288,266,53,9,0,9,19,100,1,2,0.199,0.253,0.335,0.588,0.135,0.277,0.066,0.3472,0.267,50.0,-0.9
Noel Cuevas,COL,68,155,148,34,4,1,2,6,24,1,0,0.23,0.265,0.311,0.575,0.081,0.262,0.0387,0.1548,0.266,49.3,-0.5
Jackson Holliday,BAL,60,208,190,36,4,2,5,15,69,2,1,0.189,0.255,0.311,0.565,0.121,0.265,0.0721,0.3317,0.266,49.3,-0.6
Alika Williams,PIT,70,207,187,39,10,1,0,13,57,2,0,0.209,0.267,0.273,0.54,0.064,0.3,0.0628,0.2754,0.265,48.7,-0.7
Kelby Tomlinson,SF,62,155,142,29,4,2,0,10,36,2,0,0.204,0.266,0.261,0.527,0.056,0.274,0.0645,0.2323,0.264,48.0,-0.5
Austin Hedges,CLE,560,1822,1635,296,43,2,50,116,504,21,13,0.181,0.243,0.302,0.544,0.12,0.225,0.0637,0.2766,0.264,48.0,-6.0
Chris Davis,BAL,249,947,845,143,24,0,30,85,356,10,7,0.169,0.251,0.304,0.555,0.135,0.242,0.0898,0.3759,0.263,47.3,-3.2
Lewin Díaz,MIA,107,352,328,60,10,1,13,21,100,1,2,0.183,0.233,0.338,0.571,0.155,0.217,0.0597,0.2841,0.263,47.3,-1.2
Korey Lee,CWS,158,501,477,93,18,1,12,24,154,0,0,0.195,0.234,0.312,0.546,0.117,0.26,0.0479,0.3074,0.263,47.3,-1.7
Patrick Mazeika,NYM,63,163,151,29,7,0,2,6,28,3,1,0.192,0.236,0.278,0.514,0.086,0.221,0.0368,0.1718,0.261,46.0,-0.6
Jordan Beck,COL,55,186,172,33,6,0,3,12,66,1,1,0.192,0.247,0.279,0.526,0.087,0.288,0.0645,0.3548,0.26,45.3,-0.7
Ryan Flaherty,ATL,89,206,184,38,8,0,2,18,48,1,1,0.207,0.279,0.283,0.562,0.076,0.267,0.0874,0.233,0.26,45.3,-0.7
Isan Díaz,MIA,161,544,479,82,14,2,9,56,154,3,5,0.171,0.26,0.265,0.525,0.094,0.227,0.1029,0.2831,0.26,45.3,-2.0
Jacob Degrom,NYM,76,179,167,36,4,0,2,8,54,0,0,0.216,0.251,0.275,0.527,0.06,0.306,0.0447,0.3017,0.26,45.3,-0.6
Vidal Bruján,MIA,187,567,513,96,21,2,5,43,124,7,2,0.187,0.258,0.265,0.524,0.078,0.236,0.0758,0.2187,0.258,44.0,-2.1
Francisco Peña,STL,57,153,143,29,5,0,2,6,45,1,2,0.203,0.237,0.28,0.517,0.077,0.276,0.0392,0.2941,0.257,43.3,-0.6
Bubba Starling,KC,85,272,256,52,9,0,5,13,88,1,1,0.203,0.244,0.297,0.54,0.094,0.287,0.0478,0.3235,0.257,43.3,-1.1
Sandy León,BOS,315,947,846,148,27,0,16,73,262,11,5,0.175,0.248,0.264,0.512,0.089,0.23,0.0771,0.2767,0.256,42.7,-3.7
Alex Jackson,TB,126,365,325,46,14,0,8,27,149,11,1,0.142,0.231,0.258,0.489,0.117,0.225,0.074,0.4082,0.254,41.3,-1.5
Franklin Barreto,ATH,65,171,167,29,6,0,8,2,70,2,0,0.174,0.193,0.353,0.546,0.18,0.236,0.0117,0.4094,0.254,41.3,-0.7
Jesús Sucre,TB,86,272,251,54,7,0,1,13,43,2,2,0.215,0.257,0.255,0.512,0.04,0.254,0.0478,0.1581,0.253,40.7,-1.1
Skye Bolt,ATH,83,222,203,32,4,0,5,13,53,2,2,0.158,0.214,0.251,0.465,0.094,0.184,0.0586,0.2387,0.253,40.7,-0.9
Taylor Motter,STL,66,169,154,27,4,1,1,14,55,1,0,0.175,0.249,0.234,0.482,0.058,0.265,0.0828,0.3254,0.251,39.3,-0.7
Drew Butera,KC,106,325,288,49,16,0,3,25,84,2,5,0.17,0.238,0.257,0.494,0.087,0.223,0.0769,0.2585,0.251,39.3,-1.4
Domingo Leyba,AZ,66,150,135,20,3,1,1,13,42,1,1,0.148,0.227,0.207,0.434,0.059,0.204,0.0867,0.28,0.25,38.7,-0.7
Yadiel Rivera,MIA,120,236,209,37,5,0,1,25,74,0,2,0.177,0.263,0.215,0.478,0.038,0.265,0.1059,0.3136,0.249,38.0,-1.1
José Barrero,CIN,140,464,430,82,17,1,5,30,168,3,1,0.191,0.248,0.27,0.518,0.079,0.298,0.0647,0.3621,0.247,36.7,-2.2
Jeff Mathis,TEX,174,554,508,89,22,2,6,40,185,1,4,0.175,0.235,0.262,0.497,0.087,0.259,0.0722,0.3339,0.239,31.3,-3.0
Trey Lipscomb,WSH,61,206,187,35,3,0,0,15,39,2,1,0.187,0.254,0.203,0.457,0.016,0.235,0.0728,0.1893,0.235,28.7,-1.2
Jack Flaherty,STL,71,154,126,19,3,0,1,10,49,0,2,0.151,0.21,0.198,0.409,0.048,0.231,0.0649,0.3182,0.233,27.3,-0.9
Joe Musgrove,PIT,89,158,138,23,6,1,0,3,55,0,1,0.167,0.183,0.225,0.408,0.058,0.274,0.019,0.3481,0.229,24.6,-1.0
Jon Lester,CHC,89,173,158,24,4,0,3,7,69,0,0,0.152,0.188,0.234,0.422,0.082,0.244,0.0405,0.3988,0.221,19.3,-1.2
Bobby Wilson,MIN,62,198,179,28,9,0,2,14,48,0,2,0.156,0.215,0.24,0.456,0.084,0.198,0.0707,0.2424,0.219,18.0,-1.4
Madison Bumgarner,SF,83,177,149,20,3,0,2,19,91,1,2,0.134,0.234,0.195,0.429,0.06,0.31,0.1073,0.5141,0.217,16.6,-1.3
Zack Wheeler,NYM,88,198,182,34,6,0,1,2,79,2,1,0.187,0.203,0.236,0.439,0.049,0.32,0.0101,0.399,0.217,16.6,-1.4
Kaleb Cowart,LAA,48,150,137,19,10,1,1,11,51,1,1,0.139,0.207,0.248,0.455,0.109,0.209,0.0733,0.34,0.205,8.6,-1.2
Adam Wainwright,STL,76,156,128,16,5,0,0,5,56,0,1,0.125,0.157,0.164,0.321,0.039,0.219,0.0321,0.359,0.204,8.0,-1.3
Miles Mikolas,STL,75,152,133,19,3,0,3,3,66,0,1,0.143,0.161,0.233,0.394,0.09,0.246,0.0197,0.4342,0.198,4.0,-1.3
Aaron Nola,PHI,95,203,170,17,5,0,0,13,100,0,1,0.1,0.163,0.129,0.292,0.029,0.239,0.064,0.4926,0.196,2.6,-1.8
Patrick Corbin,WSH,91,206,182,25,2,0,0,8,79,0,0,0.137,0.174,0.148,0.322,0.011,0.243,0.0388,0.3835,0.193,0.6,-1.9
Walker Buehler,LAD,91,209,184,19,2,0,1,11,109,0,0,0.103,0.154,0.13,0.284,0.027,0.243,0.0526,0.5215,0.189,-2.0,-2.0
Max Scherzer,WSH,92,212,192,27,2,0,0,1,73,2,1,0.141,0.153,0.151,0.304,0.01,0.225,0.0047,0.3443,0.174,-12.1,-2.3
Luis Castillo,CIN,93,192,172,20,4,0,0,3,79,0,0,0.116,0.131,0.14,0.271,0.023,0.215,0.0156,0.4115,0.161,-20.7,-2.3
Kyle Hendricks,CHC,92,195,170,18,3,0,0,6,88,1,0,0.106,0.141,0.124,0.265,0.018,0.22,0.0308,0.4513,0.159,-22.1,-2.4
Anthony Desclafani,CIN,82,168,151,14,1,0,1,4,89,0,0,0.093,0.116,0.119,0.235,0.026,0.213,0.0238,0.5298,0.144,-32.1,-2.3
Jon Gray,COL,82,171,146,12,2,0,0,6,84,0,0,0.082,0.118,0.096,0.214,0.014,0.194,0.0351,0.4912,0.144,-32.1,-2.3
